,precision,recall,f1-score,support
(Vertigo) Paroymsal  Positional Vertigo,1.0000,1.0000,1.0000,95.0000
Acne,0.9934,1.0000,0.9967,150.0000
Aids,1.0000,1.0000,1.0000,100.0000
Alcoholic Hepatitis,1.0000,1.0000,1.0000,95.0000
Allergy,0.9147,0.8138,0.8613,145.0000
Arthritis,0.9787,0.9946,0.9866,185.0000
Bronchial Asthma,0.9581,0.9892,0.9734,185.0000
Cervical Spondylosis,0.8710,0.9000,0.8852,150.0000
Cervical spondylosis,0.7660,0.7200,0.7423,50.0000
Chicken Pox,0.8707,0.9481,0.9078,135.0000
Chicken pox,0.7200,0.7200,0.7200,50.0000
Chronic Cholestasis,1.0000,1.0000,1.0000,95.0000
Common Cold,0.9665,0.9105,0.9377,190.0000
Dengue,0.9600,0.9081,0.9333,185.0000
Diabetes,0.7059,0.6000,0.6486,40.0000
Diabetes ,1.0000,1.0000,1.0000,95.0000
Dimorphic Hemmorhoids(Piles),1.0000,1.0000,1.0000,85.0000
Dimorphic Hemorrhoids,0.9804,1.0000,0.9901,50.0000
Drug Reaction,0.9153,0.7714,0.8372,140.0000
Fungal Infection,0.8613,0.8741,0.8676,135.0000
Fungal infection,0.6038,0.6400,0.6214,50.0000
Gastroenteritis,1.0000,1.0000,1.0000,100.0000
Gastroesophageal Reflux Disease,0.6486,0.6000,0.6234,40.0000
Gerd,1.0000,1.0000,1.0000,100.0000
Heart Attack,1.0000,1.0000,1.0000,85.0000
Hepatitis A,0.9906,1.0000,0.9953,105.0000
Hepatitis B,1.0000,1.0000,1.0000,100.0000
Hepatitis C,1.0000,1.0000,1.0000,95.0000
Hepatitis D,1.0000,1.0000,1.0000,90.0000
Hepatitis E,1.0000,1.0000,1.0000,95.0000
Hypertension,0.9368,0.9889,0.9622,90.0000
Hypertension ,1.0000,1.0000,1.0000,95.0000
Hyperthyroidism,1.0000,1.0000,1.0000,105.0000
Hypoglycemia,1.0000,1.0000,1.0000,95.0000
Hypothyroidism,1.0000,1.0000,1.0000,100.0000
Impetigo,0.9683,0.9892,0.9786,185.0000
Jaundice,1.0000,1.0000,1.0000,180.0000
Malaria,0.9779,0.9833,0.9806,180.0000
Migraine,0.9778,0.9778,0.9778,180.0000
Osteoarthristis,1.0000,1.0000,1.0000,90.0000
Paralysis (Brain Hemorrhage),1.0000,1.0000,1.0000,100.0000
Peptic Ulcer Diseae,1.0000,1.0000,1.0000,90.0000
Peptic Ulcer Disease,0.7097,0.5500,0.6197,40.0000
Pneumonia,0.9845,1.0000,0.9922,190.0000
Psoriasis,0.9409,0.9722,0.9563,180.0000
Tuberculosis,1.0000,1.0000,1.0000,95.0000
Typhoid,0.9767,0.9081,0.9412,185.0000
Urinary Tract Infection,0.9606,0.8714,0.9139,140.0000
Varicose Veins,0.9444,0.9842,0.9639,190.0000
allergy,0.5556,0.6000,0.5769,50.0000
diabetes,0.6939,0.6800,0.6869,50.0000
drug reaction,0.5385,0.7000,0.6087,50.0000
gastroesophageal reflux disease,0.7660,0.7200,0.7423,50.0000
peptic ulcer disease,0.6027,0.8800,0.7154,50.0000
urinary tract infection,0.6667,0.7600,0.7103,50.0000
accuracy,0.9391,0.9391,0.9391,0.9391
macro avg,0.9074,0.9083,0.9064,6025.0000
weighted avg,0.9413,0.9391,0.9393,6025.0000
